Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-Feb-20,8.2,8.68,8.2,8.47,8.594785322,107696,133,925624,90725,84.24,0.48,0.27
18-Feb-20,8.7,8.7,8.27,8.27,8.348363727,152114,294,1269903,149499,98.28,0.43,-0.43
17-Feb-20,9.1,9.1,8.56,8.7,8.675525928,34653,101,300633,30883,89.12,0.54,-0.4
14-Feb-20,9.18,9.53,8.86,8.95,9.106554985,34264,104,312027,19706,57.51,0.67,-0.23
13-Feb-20,8.45,9.18,8.45,9.17,8.96267568,97336,221,872391,73030,75.03,0.73,0.72
12-Feb-20,8.91,8.97,8.61,8.75,8.768822934,76011,130,666527,76011,100,0.36,-0.16
11-Feb-20,9.1,9.35,8.65,8.91,8.978965443,55908,167,501996,55908,100,0.7,-0.19
10-Feb-20,9.22,9.68,9,9.1,9.322564103,44850,151,418117,44850,100,0.68,-0.12
7-Feb-20,9.6,10.14,9.19,9.22,9.359519944,157065,191,1470053,157065,100,0.95,-0.38
6-Feb-20,9.65,9.68,9.14,9.67,9.540153833,60455,144,576750,60455,100,0.54,0.02
5-Feb-20,9.54,9.54,9,9.22,9.383161646,89795,232,842561,89795,100,0.54,-0.32
4-Feb-20,8.7,9.13,8.3,9.09,9.032027595,105815,219,955724,105815,100,0.83,0.39
3-Feb-20,9.15,9.15,8.7,8.7,8.713791175,37553,117,327229,37553,100,0.45,-0.45
1-Feb-20,9.15,9.25,9.15,9.15,9.15030344,47291,136,432727,47291,100,0.1,0
31-Jan-20,10,10,9.63,9.63,9.741567541,92055,166,896760,92055,100,0.37,-0.37
30-Jan-20,10.95,10.95,10.13,10.13,10.18483524,63819,114,649986,63819,100,0.82,-0.82
29-Jan-20,10.66,10.66,10,10.66,10.61164261,376187,348,3991962,376187,100,0.66,0
28-Jan-20,10.16,10.16,10.1,10.16,10.15997799,179956,174,1828349,179956,100,0.06,0
