Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-Feb-20,1592.55,1595.7,1541,1590.25,1569.331258,803,313,1260173,329,40.97,54.7,-2.3
17-Feb-20,1630,1630,1578.2,1582.65,1585.933752,5736,279,9096916,5435,94.75,51.8,-47.35
14-Feb-20,1607.35,1620.4,1550,1578.85,1597.577904,706,245,1127890,452,64.02,70.4,-28.5
13-Feb-20,1616.1,1623.95,1590,1593.5,1598.242945,815,160,1302568,651,79.88,33.95,-22.6
12-Feb-20,1613,1618.5,1585,1606.05,1606.313684,950,299,1525998,590,62.11,33.5,-6.95
11-Feb-20,1678.3,1678.3,1612,1619.7,1644.840686,1632,304,2684380,1187,72.73,66.3,-58.6
10-Feb-20,1675,1690.1,1650.2,1664.65,1666.699441,895,294,1491696,640,71.51,39.9,-10.35
7-Feb-20,1685,1692.6,1665.3,1678.6,1676.112245,294,87,492777,241,81.97,27.3,-6.4
6-Feb-20,1670,1702.8,1670,1693.45,1694.489796,196,50,332120,140,71.43,32.8,23.45
5-Feb-20,1702.3,1713.25,1688.4,1696.7,1702.221271,818,187,1392417,306,37.41,24.85,-5.6
4-Feb-20,1694.75,1726,1685.7,1703.5,1707.780521,729,344,1244972,571,78.33,40.3,8.75
3-Feb-20,1715.2,1715.2,1664.65,1696.4,1692.616691,1354,317,2291803,809,59.75,50.55,-18.8
1-Feb-20,1711.7,1770.9,1696.05,1707.65,1726.822981,322,170,556037,141,43.79,74.85,-4.05
31-Jan-20,1700,1729.95,1687,1710.6,1713.90205,439,120,752403,280,63.78,42.95,10.6
30-Jan-20,1740.6,1740.6,1665,1701.3,1695.570284,1622,512,2750215,834,51.42,75.6,-39.3
29-Jan-20,1760.5,1765.4,1717,1743.35,1742.281807,841,247,1465259,335,39.83,48.4,-17.15
28-Jan-20,1796.2,1799.25,1722.85,1740.4,1757.509168,709,156,1246074,461,65.02,76.4,-55.8
27-Jan-20,1800,1813.95,1785,1787.35,1795.809783,552,148,991287,342,61.96,28.95,-12.65
24-Jan-20,1796.7,1817.2,1791.2,1799.65,1798.078049,410,95,737212,278,67.8,26,2.95
23-Jan-20,1811.55,1821.6,1788.05,1795.3,1806.949178,1338,240,2417698,617,46.11,33.55,-16.25
22-Jan-20,1796.75,1836.1,1795.85,1810.8,1811.923436,1071,240,1940570,489,45.66,40.25,14.05
21-Jan-20,1810,1824,1781.9,1788.15,1800.508443,533,111,959671,371,69.61,42.1,-21.85
20-Jan-20,1818.5,1864.05,1805,1813.25,1837.18318,868,212,1594675,376,43.32,59.05,-5.25
17-Jan-20,1838,1839.8,1803,1818.3,1825.190604,2235,538,4079301,1763,78.88,36.8,-19.7
16-Jan-20,1838.95,1839.95,1820,1834.95,1832.97563,1231,141,2256393,834,67.75,19.95,-4
15-Jan-20,1811.35,1847.3,1805.45,1807.5,1816.55137,584,200,1060866,327,55.99,41.85,-3.85
14-Jan-20,1836.9,1837.1,1800.8,1803.7,1811.71916,381,75,690265,257,67.45,36.3,-33.2
13-Jan-20,1837.75,1840,1822.2,1825.1,1825.030563,55558,177,101395048,54703,98.46,17.8,-12.65
10-Jan-20,1831.7,1886,1820.35,1829.25,1847.238857,875,229,1616334,407,46.51,65.65,-2.45
9-Jan-20,1900,1900,1812.7,1831.8,1843.458123,991,202,1826867,725,73.16,87.3,-68.2
8-Jan-20,1818.3,1824.1,1781.4,1804.3,1801.711645,541,198,974726,150,27.73,42.7,-14
7-Jan-20,1810.1,1860,1810.1,1837.3,1839.767971,1099,236,2021905,565,51.41,49.9,27.2
6-Jan-20,1889.95,1890,1801.5,1820.2,1841.058201,1134,282,2087760,391,34.48,88.5,-69.75
3-Jan-20,1930,1930,1882.3,1887,1895.635246,976,186,1850140,471,48.26,47.7,-43
2-Jan-20,1938.6,1950,1920.3,1929.55,1930.13198,788,207,1520944,313,39.72,29.7,-9.05
1-Jan-20,1890.75,1980,1887.5,1941.55,1944.21484,10054,1587,19547136,2656,26.42,92.5,50.8
31-Dec-19,1835.1,1974.8,1812,1910.25,1924.34916,19945,3162,38381144,2297,11.52,162.8,75.15
30-Dec-19,1854,1854,1783.55,1819.5,1814.350171,1168,418,2119161,335,28.68,70.45,-34.5
27-Dec-19,1849.3,1875,1812.95,1825,1834.884877,1911,458,3506465,708,37.05,62.05,-24.3
26-Dec-19,1871.1,1906.25,1835.3,1847.95,1874.09361,4006,670,7507619,999,24.94,70.95,-23.15
24-Dec-19,1953,1955,1844,1868.25,1915.366509,13986,2248,26788316,6938,49.61,111,-84.75
23-Dec-19,1800.05,2070,1800.05,1988.75,1957.155348,25356,4039,49625631,4806,18.95,269.95,188.7
20-Dec-19,1800,1811.95,1791.3,1801.25,1801.565152,1980,771,3567099,1308,66.06,20.65,1.25
19-Dec-19,1762.5,1799,1751.5,1788.7,1772.072438,566,296,1002993,320,56.54,47.5,26.2
18-Dec-19,1764,1775.55,1751,1767.45,1752.020948,10741,238,18818457,10215,95.1,24.55,3.45
17-Dec-19,1725,1795.65,1724.95,1775.15,1762.677966,1947,354,3431934,1143,58.71,70.7,50.15
16-Dec-19,1714.95,1745,1714.95,1722.7,1729.620795,53156,207,91939723,52769,99.27,30.05,7.75
13-Dec-19,1720,1728,1688.45,1717.4,1714.652015,546,159,936200,189,34.62,39.55,-2.6
12-Dec-19,1679,1727.55,1678.6,1704.45,1705.030508,1180,386,2011936,665,56.36,48.95,25.45
11-Dec-19,1685,1695.6,1642.9,1661,1673.24065,615,159,1029043,231,37.56,52.7,-24
10-Dec-19,1645,1698,1634.5,1683.5,1657.515493,710,209,1176836,444,62.54,63.5,38.5
9-Dec-19,1641,1668.8,1631.85,1660.1,1649.664615,325,115,536141,231,71.08,36.95,19.1
6-Dec-19,1652.5,1653.35,1637.85,1641.85,1641.759536,603,180,989981,433,71.81,15.5,-10.65
5-Dec-19,1656,1656,1622.3,1633.35,1640.261905,714,233,1171147,244,34.17,33.7,-22.65
4-Dec-19,1622.25,1675.95,1615,1665.5,1638.518473,812,325,1330477,511,62.93,60.95,43.25
3-Dec-19,1633.5,1650.25,1632.4,1645.2,1641.314483,725,213,1189953,355,48.97,17.85,11.7
